"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
"44259","14","3","Alice Creek","-26.76000023","151.63200378","+10:00","0","ACRK"
"44260","14","3","Allan","-28.19560051","151.94999695","+10:00","0","ALLA"
"44261","14","3","Allenstown","-23.38890076","150.50300598","+10:00","0","ALLE"
"44262","14","3","Alligator Creek","-21.32390022","149.21099854","+10:00","0","ACRZ"
"44263","14","3","Allora","-28.03580093","151.98300171","+10:00","0","ALLO"
"44264","14","3","Alloway","-24.95240021","152.36199951","+10:00","0","ALLW"
"47545","14","3","ALMADEN","-17.34090042","144.67599487","+10:00","0","ALMA"
"47546","14","3","ALOOMBA","-17.12789917","145.82400513","+10:00","0","ALOO"
"44265","14","3","Alpha","-23.64970016","146.64100647","+10:00","0","ALPH"
"44266","14","3","Amamoor","-26.34519958","152.67500305","+10:00","0","AMAM"
"44267","14","3","Amamoor Creek","-26.35950089","152.56300354","+10:00","0","ACRY"
"47547","14","3","AMBER","-17.71890068","144.31599426","+10:00","0","AMBR"
"44268","14","3","Amberley","-27.64039993","152.70199585","+10:00","0","AMBE"
"44269","14","3","Amby","-26.54920006","148.18699646","+10:00","0","AMBY"
"44270","14","3","Amiens","-28.58359909","151.80099487","+10:00","0","AMIE"
"44271","14","3","Amity","-27.39789963","153.43899536","+10:00","0","AMIT"
"44272","14","3","Amity Point","-27.39649963","153.44000244","+10:00","0","APOI"
"44273","14","3","Andergrove","-21.09690094","149.18499756","+10:00","0","ANDE"
"44274","14","3","Anderleigh","-25.99839973","152.67399597","+10:00","0","ANDR"
"44275","14","3","Anduramba","-27.13459969","152.08599854","+10:00","0","ANDU"
"47462","14","3","ANNANDALE","-19.30960083","146.78700256","+10:00","0","ANNA"
"44276","14","3","Annerley","-27.51160049","153.03199768","+10:00","0","ANNE"
"44277","14","3","Anstead","-27.54560089","152.87199402","+10:00","0","ANST"
"44278","14","3","Anthony","-27.87820053","152.68400574","+10:00","0","ANTH"
"44279","14","3","Antigua","-25.63820076","152.60299683","+10:00","0","ANTI"
"44280","14","3","Apple Tree Creek","-25.21520042","152.23399353","+10:00","0","ATCR"
"44281","14","3","Applethorpe","-28.61389923","151.95500183","+10:00","0","APPL"
"44282","14","3","Araluen","-26.15950012","152.66799927","+10:00","0","ARAL"
"44283","14","3","Aramac","-22.97220039","145.24499512","+10:00","0","ARAM"
"44284","14","3","Aramara","-25.61129951","152.32600403","+10:00","0","ARAA"
"44285","14","3","Arana Hills","-27.39749908","152.96000671","+10:00","0","AHIS"
